DR2Name,RA_ICRS,DE_ICRS,Gmag,e_Gmag,BP-RP,e_BP-RP,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
Gaia DR2 3026532955208901888,-0.0023638037132789227,-0.013616332805000297,19.92949197008928,0.0054436590786664865,2.206561017735659,0.05262341681197127,0.4453,-1.962,1.473,0.4852,0.617,0.684,0.869,0
Gaia DR2 3026532989567092480,0.0091193273228644,-0.006787930144998455,18.34306429205377,0.0024852111199660477,2.419520516003651,0.024921153368192533,-0.0655,-1.999,2.85,0.1843,0.236,0.3,0.86,0
Gaia DR2 3026539071240164352,0.011005746058960913,0.008082655115000392,18.16477276050327,0.0023221661760836035,1.6115757329448037,0.01608931632420924,0.2419,-2.118,1.839,0.143,0.182,0.234,0.854,0
Gaia DR2 3026539139960262528,-0.005691489467533758,0.014780957104999715,18.785780369693114,0.0030490496522765243,2.2393110028656196,0.020730100525995252,0.4796,-1.735,2.777,0.225,0.29,0.327,0.853,0
Gaia DR2 3026533268737927424,-0.009595026709342338,0.0016404116549999515,19.24564751746925,0.0032042510339769354,1.8373248303560494,0.03967513336055611,-0.2091,-2.386,2.804,0.2706,0.376,0.41,0.853,0
Gaia DR2 3026539144263844480,0.002859063482521824,0.01397678449500006,18.130268850915723,0.002210521940885823,1.5774272010172048,0.017281425284452992,0.5737,-0.841,6.622,0.1506,0.192,0.212,0.852,0
Gaia DR2 3026532993859995648,0.0122029806852922,-0.01393933867499797,19.209430815508732,0.003175678954418294,1.5703522803034033,0.028542504397137843,0.3032,-2.719,3.394,0.2821,0.366,0.437,0.852,0
Gaia DR2 3026533200018449664,-0.002130213164666083,-0.01082390234499897,18.70364483199802,0.002591574862811973,1.8752644506058047,0.02324101404553843,0.6706,0.564,-1.209,0.2111,0.272,0.3,0.851,0
Gaia DR2 3026533195727069696,-0.003620419627862419,-0.0010035329249973302,19.186920595549687,0.0036545644899612837,1.9866578811704478,0.06316754021766179,-0.4729,-2.25,2.814,0.3125,0.411,0.464,0.851,0
Gaia DR2 3026532993860002304,0.009234290734955042,-0.013014944544998741,19.278659492223706,0.0036497145496697863,2.4734606950089955,0.056925416450469724,0.7527,-1.469,1.92,0.349,0.418,0.553,0.851,0
Gaia DR2 3026532989566427904,0.011904181699867648,-0.006514923394998817,18.985161203538695,0.003057176146194084,2.289585257147717,0.03421635069688764,0.178,-1.567,2.821,0.2459,0.311,0.362,0.849,0
Gaia DR2 3026533268748589184,-0.0031914385680158436,0.007931496695000817,19.1487614881231,0.0034248747802508813,2.091657662744197,0.030069226868745025,-0.0569,-2.081,2.288,0.2846,0.391,0.44,0.849,0
Gaia DR2 3026533234378198272,-0.014957996951525445,-0.004296359614997414,19.500093837593614,0.0036331298602643894,2.0308534652077306,0.044899009143220585,0.7823,-8.315,6.886,0.3214,0.433,0.494,0.849,0
Gaia DR2 3026533165669381504,-0.007380431460192344,-0.015186863514998095,19.549422785639777,0.004232292948665985,2.700692367698725,0.06716200742275717,-0.354,0.036,-2.678,0.3917,0.542,0.611,0.849,0
Gaia DR2 3026538869375234304,0.01450001552172453,0.0007273605550004447,19.059914193579804,0.0029946509752007723,1.7250942868314745,0.03544352776159905,0.5019,-2.308,0.579,0.2548,0.329,0.383,0.848,0
Gaia DR2 3026533195727069952,-0.0028281159448895468,0.00037163217499980306,18.112609185588585,0.0038975268932700843,1.5559754265692014,0.13486894000818506,1.5426,-0.714,1.282,0.2877,0.352,0.297,0.847,0
Gaia DR2 3026533268737917184,-0.006561468441042513,0.007951410105000889,18.824444418869636,0.0027567570249057215,1.8179544362230153,0.029722332353125627,-0.0897,-2.018,2.335,0.2341,0.323,0.363,0.847,0
Gaia DR2 3026539071240784128,0.005656227865118793,0.002093194655000019,19.373618635147352,0.00364250234929178,2.097224727140741,0.036379181492894166,-0.1069,-2.131,2.11,0.3375,0.467,0.576,0.847,0
Gaia DR2 3026538865082353792,0.018442066605770514,3.437721500176849e-05,19.02855905208221,0.004175547841656509,2.437809732769189,0.03599989227502316,-1.0848,1.894,2.785,0.391,0.519,0.613,0.845,0
Gaia DR2 3026532989566419712,0.009582021374695776,-0.014759708034997487,17.917917966500436,0.002156541583150978,1.6951229948555593,0.011456956593815506,0.5706,3.107,-1.723,0.1436,0.172,0.216,0.844,0
Gaia DR2 3026532989568643584,0.011152229309800567,-0.01572370332499773,19.535967611574495,0.0037620824278094935,2.0424195320890597,0.049486576664270844,1.0423,9.169,14.287,0.3621,0.459,0.533,0.844,0
Gaia DR2 3026533200018448128,-0.006533698421511475,-0.0005127512949982815,19.545361087987764,0.0043048676401304855,1.6346099219292043,0.040137090743193986,-0.153,-2.713,3.502,0.3812,0.498,0.555,0.844,0
